"Breznakia pachnodae","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia","Breznakia pachnodae","strain"
"Brumimicrobium mesophilum","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Brumimicrobium","Brumimicrobium mesophilum","strain"
"Budvicia aquatica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Budviciaceae","Budvicia","Budvicia aquatica","strain"
"Budvicia diplopodorum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Budviciaceae","Budvicia","Budvicia diplopodorum","strain"
"Buttiauxella agrestis ATCC 33320","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella agrestis","Buttiauxella agrestis ATCC 33320"
"Buttiauxella brennerae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella brennerae","strain"
"Buttiauxella ferragutiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella ferragutiae","strain"
"Buttiauxella noackiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella noackiae","strain"
"Butyribacter intestini","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyribacter","Butyribacter intestini","strain"
"Butyricicoccus faecihominis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus","Butyricicoccus faecihominis","strain"
"Butyricicoccus pullicaecorum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus","Butyricicoccus pullicaecorum","strain"
"Butyricimonas paravirosa","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas paravirosa","strain"
"Butyricimonas phoceensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas phoceensis","strain"
"Butyricimonas synergistica","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas synergistica","strain"
"Butyricimonas virosa","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas virosa","strain"
"Butyrivibrio crossotus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio crossotus","strain"
"Butyrivibrio fibrisolvens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio fibrisolvens","strain"
"Butyrivibrio hungatei","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio hungatei","strain"
"Butyrivibrio proteoclasticus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio proteoclasticus","strain"
"Caecibacter massiliensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Caecibacter","Caecibacter massiliensis","strain"
"Caecibacterium sporoformans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Caecibacterium","Caecibacterium sporoformans","strain"
"Calculibacillus koreensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Calculibacillus","Calculibacillus koreensis","strain"
"Caldalkalibacillus mannanilyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldalkalibacillus","Caldalkalibacillus mannanilyticus","strain"
"Caldicoprobacter faecalis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Caldicoprobacteraceae","Caldicoprobacter","Caldicoprobacter faecalis","strain"
"Caloramator coolhaasii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Caloramator","Caloramator coolhaasii","strain"
"Caloramator indicus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Caloramator","Caloramator indicus","strain"
"Caloramator mitchellensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Caloramator","Caloramator mitchellensis","strain"
"Caloramator viterbiensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Caloramator","Caloramator viterbiensis","strain"
"Caloranaerobacter azorensis","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Thermohalobacteraceae","Caloranaerobacter","Caloranaerobacter azorensis","strain"
"Capnocytophaga endodontalis","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga endodontalis","strain"
"Capnocytophaga leadbetteri","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga leadbetteri","strain"
"Capnocytophaga sputigena","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sputigena","strain"
"Caproicibacterium amylolyticum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Caproicibacterium","Caproicibacterium amylolyticum","strain"
"Caproiciproducens galactitolivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Caproiciproducens","Caproiciproducens galactitolivorans","strain"
"Carboxydocella manganica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiales Family XVI. Incertae Sedis","Carboxydocella","Carboxydocella manganica","strain"
"Carnobacterium funditum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium funditum","strain"
"Carnobacterium gallinarum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium gallinarum","strain"
"Carnobacterium iners","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium iners","strain"
"Carnobacterium inhibens subsp. inhibens DSM 13024","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium inhibens","Carnobacterium inhibens subsp. inhibens DSM 13024"
"Casaltella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Casaltella","Casaltella massiliensis","strain"
"Catellicoccus marimammalium","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Catellicoccus","Catellicoccus marimammalium","strain"
"Catonella morbi ATCC 51271","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Catonella","Catonella morbi","Catonella morbi ATCC 51271"
"Cedecea lapagei","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea","Cedecea lapagei","strain"
"Chania multitudinisentens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Chania","Chania multitudinisentens","strain"
"Chengkuizengella sediminis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Chengkuizengella","Chengkuizengella sediminis","strain"
"Christensenella hongkongensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","Christensenella hongkongensis","strain"
"Christensenella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","Christensenella massiliensis","strain"
"Christensenella minuta","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","Christensenella minuta","strain"
"Christensenella timonensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","Christensenella timonensis","strain"
"Citreitalea marina","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Citreitalea","Citreitalea marina","strain"
"Citrobacter amalonaticus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter amalonaticus","strain"
"Citrobacter braakii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter braakii","strain"
"Citrobacter cronae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter cronae","strain"
"Citrobacter europaeus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter europaeus","strain"
"Citrobacter farmeri","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter farmeri","strain"
"Citrobacter freundii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter freundii","strain"
"Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter freundii","Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681"
"Citrobacter gillenii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter gillenii","strain"
"Citrobacter koseri","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter koseri","strain"
"Citrobacter murliniae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter murliniae","strain"
"Citrobacter rodentium","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter rodentium","strain"
"Citrobacter sedlakii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter sedlakii","strain"
"Citrobacter werkmanii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter werkmanii","strain"
"Citrobacter youngae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter youngae","strain"
"Clostridioides difficile ATCC 9689 = DSM 1296","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile","Clostridioides difficile ATCC 9689 = DSM 1296"
"Clostridioides mangenotii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","Clostridioides mangenotii","strain"
"Clostridium acetobutylicum ATCC 824","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium acetobutylicum","Clostridium acetobutylicum ATCC 824"
"Clostridium aestuarii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium aestuarii","strain"
"Clostridium akagii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium akagii","strain"
"Clostridium algidicarnis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium algidicarnis","strain"
"Clostridium algifaecis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium algifaecis","strain"
"Clostridium amylolyticum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium amylolyticum","strain"
"Clostridium argentinense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium argentinense","strain"
"Clostridium aurantibutyricum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium felsineum","strain"
"Clostridium autoethanogenum DSM 10061","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium autoethanogenum","Clostridium autoethanogenum DSM 10061"
"Clostridium baratii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium baratii","strain"
"Clostridium beijerinckii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii","strain"
"Clostridium bornimense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium bornimense","strain"
"Clostridium bowmanii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium bowmanii","strain"
"Clostridium budayi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium budayi","strain"
"Clostridium butyricum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum","strain"
"Clostridium cadaveris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cadaveris","strain"
"Clostridium carboxidivorans P7","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium carboxidivorans","Clostridium carboxidivorans P7"
"Clostridium carnis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium carnis","strain"
"Clostridium cavendishii DSM 21758","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cavendishii","Clostridium cavendishii DSM 21758"
"Clostridium cellulovorans 743B","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cellulovorans","Clostridium cellulovorans 743B"
"Clostridium chartatabidum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium chartatabidum","strain"
"Clostridium chauvoei","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium chauvoei","strain"
"Clostridium chromiireducens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium chromiireducens","strain"
"Clostridium cochlearium","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cochlearium","strain"
"Clostridium colicanis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium colicanis","strain"
"Clostridium collagenovorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium collagenovorans","strain"
"Clostridium cylindrosporum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cylindrosporum","strain"
"Clostridium diolis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium diolis","strain"
"Clostridium disporicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium disporicum","strain"
"Clostridium drakei","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium drakei","strain"
"Clostridium estertheticum subsp. laramiense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium estertheticum","strain"
"Clostridium fallax","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium fallax","strain"
