"","Var1","barcode01","barcode02","barcode03","barcode04","barcode05","barcode06","barcode07","barcode08","barcode09","barcode10","barcode11","barcode12","barcode13","barcode14","barcode15","barcode16","barcode17","barcode18","barcode19","barcode20","barcode21","barcode22","barcode23","barcode24","unclassified"
"Aminicella lysinilytica","Aminicella lysinilytica",0,0,0,0,0,0,2,0,1,0,2,0,2,1,0,0,0,2,0,0,3,1,6,0,1
"Aminipila butyrica","Aminipila butyrica",0,161,5,156,67,0,15,43,1,0,70,14,445,75,15,19,0,1067,1,0,406,10,154,1,140
"Aminobacter aminovorans","Aminobacter aminovorans",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammoniphilus oxalaticus","Ammoniphilus oxalaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ammoniphilus oxalivorans","Ammoniphilus oxalivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Ammoniphilus resinae","Ammoniphilus resinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Amnibacterium flavum","Amnibacterium flavum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Amphibacillus xylanus","Amphibacillus xylanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
"Amylolactobacillus amylophilus","Amylolactobacillus amylophilus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amylolactobacillus amylotrophicus","Amylolactobacillus amylotrophicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Anabaena cylindrica PCC 7122","Anabaena cylindrica PCC 7122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anaeroarcus burkinensis","Anaeroarcus burkinensis",2,1,19,1,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,12,0,3
"Anaerobacillus alkalilacustris","Anaerobacillus alkalilacustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Anaerobacterium chartisolvens","Anaerobacterium chartisolvens",0,1,0,1,0,0,0,0,0,0,1,1,12,10,2,0,1,1,0,1,0,0,201,1,8
"Anaerobium acetethylicum","Anaerobium acetethylicum",0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,6,0,1,3,0,8,0,1
"Anaerobranca californiensis","Anaerobranca californiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Anaerobranca gottschalkii","Anaerobranca gottschalkii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerobranca horikoshii","Anaerobranca horikoshii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Anaerobutyricum hallii","Anaerobutyricum hallii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerocella delicata","Anaerocella delicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,14
"Anaerococcus hydrogenalis","Anaerococcus hydrogenalis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus nagyae","Anaerococcus nagyae",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"Anaerococcus prevotii DSM 20548","Anaerococcus prevotii DSM 20548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Anaerococcus urinomassiliensis","Anaerococcus urinomassiliensis",0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,6,1,0,0,0,0,0,11,1
"Anaerocolumna aminovalerica","Anaerocolumna aminovalerica",0,15,0,0,0,0,0,1,0,0,10,2,1,19,0,0,1,3,0,1,405,1,66,3,18
"Anaerocolumna cellulosilytica","Anaerocolumna cellulosilytica",0,449,1,35,8,0,36,5,5,1,2140,7,92,570,2,2,34,141,10,11,137,0,1117,4,126
"Anaerocolumna jejuensis","Anaerocolumna jejuensis",0,1,0,0,0,0,0,0,0,0,22,0,1,122,0,0,0,1,0,3,0,0,250,0,35
"Anaerocolumna xylanovorans","Anaerocolumna xylanovorans",0,1,0,0,0,0,0,0,0,0,12,1,0,12,0,0,0,0,3,4,0,0,763,0,31
"Anaerofilum agile","Anaerofilum agile",0,1,1,1,0,0,1,0,0,0,0,2,4,13,2,0,0,2,0,1,3,10,15,0,2
"Anaerofilum pentosovorans","Anaerofilum pentosovorans",0,1,0,0,0,0,0,0,2,0,1,2,0,2,0,0,0,3,0,0,1,34,14,0,1
"Anaerofustis stercorihominis","Anaerofustis stercorihominis",3,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,6,0,6,33,0
"Anaeromassilibacillus senegalensis","Anaeromassilibacillus senegalensis",0,291,14,238,221,0,289,338,340,0,1820,187,2526,1249,3,8,435,4479,0,520,80,0,1174,22,530
"Anaeromicrobium sediminis","Anaeromicrobium sediminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Anaeromusa acidaminophila","Anaeromusa acidaminophila",2,0,64,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,3
"Anaeroplasma varium","Anaeroplasma varium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Anaerorhabdus furcosa","Anaerorhabdus furcosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Anaerosinus glycerini","Anaerosinus glycerini",2,503,373,27,139,0,400,62,6,1,489,1152,583,1578,96,0,45,5830,201,835,0,0,52628,0,2237
"Anaerosphaera aminiphila DSM 21120","Anaerosphaera aminiphila DSM 21120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Anaerospora hongkongensis","Anaerospora hongkongensis",1,3,16,0,4,0,3,0,1,0,4,98,23,11,15,0,3,41,23,8,0,0,148,0,18
"Anaerosporobacter mobilis","Anaerosporobacter mobilis",0,0,0,0,1,0,0,0,0,0,5,0,1,2,0,0,43,0,0,0,3,0,0,0,6
"Anaerosporomusa subterranea","Anaerosporomusa subterranea",2,7,78,4,7,0,2,1,1,0,2,40,18,4,8,0,3,25,11,16,0,0,61,0,5
"Anaerostipes butyraticus","Anaerostipes butyraticus",0,51,0,4,2,0,11,9,4,0,24,0,27,21,6,0,6,15,1,11,855,0,124,25,15
"Anaerostipes caccae","Anaerostipes caccae",0,2,0,0,0,0,0,0,0,0,11,0,2,5,0,0,0,0,1,0,3,0,10,5,2
"Anaerostipes hadrus","Anaerostipes hadrus",1,7,1,4,5,2,7,4,5,0,8,6,20,18,0,0,4,13,1,8,55,61,54,747,23
"Anaerotaenia torta","Anaerotaenia torta",0,42,2,0,2,0,0,0,0,0,424,2,5,153,2,0,12,1,11,0,65,4,4178,3,180
"Anaerotalea alkaliphila","Anaerotalea alkaliphila",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,2,0,43,0,3
"Anaerotignum aminivorans","Anaerotignum aminivorans",0,46,31,97,0,0,34,4,68,0,368,3,29,793,0,0,5,8,0,1613,345,7,4715,0,258
"Anaerotignum faecicola","Anaerotignum faecicola",0,70,0,11,1,0,0,1,0,0,75,0,16,125,0,6,0,0,0,77,227,4,1457,1,95
"Anaerotignum lactatifermentans","Anaerotignum lactatifermentans",1,19,3,10,1,0,5,0,4,0,70,0,65,33,0,1,0,0,0,124,517,3,838,0,47
"Anaerotignum neopropionicum","Anaerotignum neopropionicum",0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,5,1,0,52,0,4
"Anaerotignum propionicum","Anaerotignum propionicum",2,1,5,58,0,0,6,0,0,0,350,0,143,341,0,0,0,8,0,333,224,8,2135,0,134
"Anaerotruncus colihominis","Anaerotruncus colihominis",0,38,0,33,24,1,30,27,17,0,159,206,470,129,38,2,5,398,0,129,154,1,268,0,103
"Anaerotruncus rubiinfantis","Anaerotruncus rubiinfantis",1,1628,14,1413,689,1,1267,898,844,0,1134,11796,11243,1468,1631,38,231,15023,17,5315,890,7,2017,3,1754
"Anaerovibrio lipolyticus DSM 3074","Anaerovibrio lipolyticus DSM 3074",0,2,8,1,2,0,1,6,1,0,8,229,15,11,21,0,9,75,59,11,0,0,74,0,25
"Anaerovirgula multivorans","Anaerovirgula multivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"Anaerovorax odorimutans","Anaerovorax odorimutans",0,18,419,28,11,0,154,5,35,0,152,203,456,110,9,1,0,215,0,0,115,2,264,0,82
"Ancylobacter aquaticus","Ancylobacter aquaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ancylobacter pratisalsi","Ancylobacter pratisalsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Ancylobacter rudongensis","Ancylobacter rudongensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1
"Ancylobacter vacuolatus","Ancylobacter vacuolatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ancylomarina psychrotolerans","Ancylomarina psychrotolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Andreesenia angusta","Andreesenia angusta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Aneurinibacillus migulanus","Aneurinibacillus migulanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aneurinibacillus thermoaerophilus","Aneurinibacillus thermoaerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anoxybacillus contaminans","Anoxybacillus contaminans",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anoxybacillus geothermalis","Anoxybacillus geothermalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anoxynatronum buryatiense","Anoxynatronum buryatiense",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,21,0,0
"Anseongella ginsenosidimutans","Anseongella ginsenosidimutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Antarcticibacterium flavum","Antarcticibacterium flavum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Apibacter raozihei","Apibacter raozihei",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apilactobacillus kunkeei","Apilactobacillus kunkeei",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apilactobacillus ozensis DSM 23829 = JCM 17196","Apilactobacillus ozensis DSM 23829 = JCM 17196",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aquamicrobium ahrensii","Aquamicrobium ahrensii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aquamicrobium terrae","Aquamicrobium terrae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aquibacillus albus","Aquibacillus albus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aquimarina hainanensis","Aquimarina hainanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aquimarina salinaria","Aquimarina salinaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Arcanobacterium haemolyticum DSM 20595","Arcanobacterium haemolyticum DSM 20595",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Arcanobacterium wilhelmae","Arcanobacterium wilhelmae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcticibacter svalbardensis MN12-7","Arcticibacter svalbardensis MN12-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Arenibacter hampyeongensis","Arenibacter hampyeongensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Asaccharospora irregularis DSM 2635","Asaccharospora irregularis DSM 2635",2,9,11,7,8,27,3,1,2,0,11,25,25,10,13,0,19,92,5,11,0,0,0,0,9
"Ascidiimonas aurantiaca","Ascidiimonas aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Atlantibacter hermannii","Atlantibacter hermannii",2,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,1,1,0,0,0,0
"Atlantibacter subterranea","Atlantibacter subterranea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlanticothrix silvestris","Atlanticothrix silvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Atopobacter phocae","Atopobacter phocae",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aureimonas leprariae","Aureimonas leprariae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aureimonas ureilytica DSM 18598 = NBRC 106430","Aureimonas ureilytica DSM 18598 = NBRC 106430",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0
"Azorhizobium doebereinerae","Azorhizobium doebereinerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Baaleninema simplex","Baaleninema simplex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Bacillus aerophilus","Bacillus aerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacillus alkalitolerans","Bacillus alkalitolerans",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus aquiflavi","Bacillus aquiflavi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bacillus benzoevorans","Bacillus benzoevorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacillus beveridgei","Bacillus beveridgei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bacillus bingmayongensis","Bacillus bingmayongensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus capparidis","Bacillus capparidis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus carboniphilus","Bacillus carboniphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bacillus cecembensis","Bacillus cecembensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bacillus cereus","Bacillus cereus",0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,49,15,15,0,0,0,0,3
"Bacillus cereus ATCC 14579","Bacillus cereus ATCC 14579",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,3,0,0,0,0,2
"Bacillus chungangensis","Bacillus chungangensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacillus cytotoxicus","Bacillus cytotoxicus",0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,1
"Bacillus dakarensis","Bacillus dakarensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bacillus fungorum","Bacillus fungorum",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,2,2,0,0,0,0,0
"Bacillus horti","Bacillus horti",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacillus manliponensis","Bacillus manliponensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Bacillus massilioanorexius AP8","Bacillus massilioanorexius AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Bacillus massiliogorillae","Bacillus massiliogorillae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,0,0
"Bacillus mediterraneensis","Bacillus mediterraneensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Bacillus mobilis","Bacillus mobilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Bacillus mycoides","Bacillus mycoides",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0
"Bacillus nakamurai","Bacillus nakamurai",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus ndiopicus","Bacillus ndiopicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
"Bacillus oryzisoli","Bacillus oryzisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bacillus pacificus","Bacillus pacificus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
"Bacillus paralicheniformis","Bacillus paralicheniformis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus paramycoides","Bacillus paramycoides",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Bacillus proteolyticus","Bacillus proteolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,3,0,0,0,0,1
"Bacillus pseudomycoides","Bacillus pseudomycoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Bacillus rubiinfantis","Bacillus rubiinfantis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacillus salarius","Bacillus salarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacillus smithii","Bacillus smithii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Bacillus songklensis","Bacillus songklensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bacillus tamaricis","Bacillus tamaricis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bacillus testis","Bacillus testis",0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,2,0
"Bacillus thermozeamaize","Bacillus thermozeamaize",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bacillus tianmuensis","Bacillus tianmuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bacillus tianshenii","Bacillus tianshenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Bacillus tropicus","Bacillus tropicus",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0
"Bacillus vallismortis","Bacillus vallismortis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bacillus wiedmannii","Bacillus wiedmannii",0,2,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,74,6,9,0,3,1,0,6
"Bacillus wudalianchiensis","Bacillus wudalianchiensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"Bacteroides acidifaciens","Bacteroides acidifaciens",0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,30,3,142,3
"Bacteroides caccae","Bacteroides caccae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,3,19,8,9
"Bacteroides caecigallinarum","Bacteroides caecigallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bacteroides caecimuris","Bacteroides caecimuris",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,184,36,954,30
"Bacteroides cellulosilyticus","Bacteroides cellulosilyticus",0,56,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,28,56,35,44
"Bacteroides cellulosilyticus DSM 14838","Bacteroides cellulosilyticus DSM 14838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacteroides clarus YIT 12056","Bacteroides clarus YIT 12056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,12,5,1
"Bacteroides eggerthii","Bacteroides eggerthii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,216,38,6
"Bacteroides faecichinchillae JCM 17102","Bacteroides faecichinchillae JCM 17102",0,1,41,30,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,5805,39,342,99,127
"Bacteroides faecis MAJ27","Bacteroides faecis MAJ27",0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1628,22,131,169,56
"Bacteroides finegoldii","Bacteroides finegoldii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,2,10,40,11
"Bacteroides fluxus YIT 12057","Bacteroides fluxus YIT 12057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,78,1,3
"Bacteroides fragilis","Bacteroides fragilis",0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,62,18,211,60,10
"Bacteroides fragilis NCTC 9343","Bacteroides fragilis NCTC 9343",0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,471,5,87,35,23
"Bacteroides gallinarum","Bacteroides gallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,0,3
"Bacteroides graminisolvens","Bacteroides graminisolvens",0,0,12,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,15,3,9
"Bacteroides helcogenes","Bacteroides helcogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,4,0,1,25
"Bacteroides ihuae","Bacteroides ihuae",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165,3,3,0,4
"Bacteroides intestinalis","Bacteroides intestinalis",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,25,142,12,26
"Bacteroides koreensis","Bacteroides koreensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,11,4
"Bacteroides kribbi","Bacteroides kribbi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
"Bacteroides luti","Bacteroides luti",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Bacteroides mediterraneensis","Bacteroides mediterraneensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bacteroides nordii WAL 11050 = JCM 12987","Bacteroides nordii WAL 11050 = JCM 12987",0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4122,9,346,41,120
"Bacteroides oleiciplenus YIT 12058","Bacteroides oleiciplenus YIT 12058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,1
"Bacteroides ovatus","Bacteroides ovatus",0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,104,51,488,86
"Bacteroides propionicifaciens","Bacteroides propionicifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacteroides pyogenes","Bacteroides pyogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacteroides reticulotermitis JCM 10512","Bacteroides reticulotermitis JCM 10512",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2
"Bacteroides rodentium JCM 16496","Bacteroides rodentium JCM 16496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,3,43,10,9
"Bacteroides salyersiae","Bacteroides salyersiae",0,0,6,9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2148,7,98,21,68
"Bacteroides stercorirosoris JCM 17103","Bacteroides stercorirosoris JCM 17103",0,0,46,28,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,168,8,73,19,16
"Bacteroides stercoris ATCC 43183","Bacteroides stercoris ATCC 43183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
"Bacteroides thetaiotaomicron","Bacteroides thetaiotaomicron",0,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,426,5,38,37,13
"Bacteroides timonensis AP1","Bacteroides timonensis AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,2
"Bacteroides uniformis","Bacteroides uniformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,8,35,3,17
"Bacteroides xylanisolvens XB1A","Bacteroides xylanisolvens XB1A",0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,182,30,19,97,8
"Balneicella halophila","Balneicella halophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Bariatricus massiliensis","Bariatricus massiliensis",12,195,110,111,73,1,155,192,117,1,359,8,1477,259,39,4,41,559,101,640,2879,35,371,70,246
"Barnesiella intestinihominis","Barnesiella intestinihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
"Barnesiella viscericola","Barnesiella viscericola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
"Bartonella australis Aust/NH1","Bartonella australis Aust/NH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Basilea psittacipulmonis DSM 24701","Basilea psittacipulmonis DSM 24701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,2,0
